total_budget,budget_instagram,pct_instagram,budget_google,pct_google,budget_tiktok,pct_tiktok,budget_facebook,pct_facebook,budget_youtube,pct_youtube,budget_linkedin,pct_linkedin,aov,creative_quality,campaign_days,target_margin,age,gender,income_level,conversions,revenue,instagram_impr,instagram_clicks,instagram_conv,instagram_rev,google_impr,google_clicks,google_conv,google_rev,tiktok_impr,tiktok_clicks,tiktok_conv,tiktok_rev,facebook_impr,facebook_clicks,facebook_conv,facebook_rev,youtube_impr,youtube_clicks,youtube_conv,youtube_rev,linkedin_impr,linkedin_clicks,linkedin_conv,linkedin_rev
74.63,17.25,0.2311,6.48,0.0868,11.63,0.1558,20.51,0.2748,15.69,0.2102,3.07,0.0411,20.2,0.467,25,0.209,48,man,low,24.445,493.78,9702.46,173.62,6.763,136.62,2884.23,78.85,4.231,85.47,7458.47,172.23,6.079,122.8,9628.66,201.74,5.543,111.96,6655.07,96.64,1.65,33.33,1000.36,10.59,0.178,3.6
6.73,1.03,0.153,0.68,0.101,0.55,0.0817,0.85,0.1263,2.74,0.4071,0.88,0.1308,16.78,0.838,18,0.365,62,man,high,2.114,35.47,595.48,13.11,0.474,7.95,284.91,9.64,0.562,9.43,384.37,11.52,0.413,6.94,392.39,7.19,0.21,3.52,1065.48,19.6,0.399,6.7,268.59,3.62,0.055,0.93
4.77,0.01,0.0021,0.25,0.0524,3.72,0.7799,0.03,0.0063,0.73,0.153,0.03,0.0063,19.31,0.723,4,0.325,21,woman,low,2.297,44.36,5.07,0.08,0.003,0.06,105.22,2.99,0.196,3.78,2538.04,61.02,2.01,38.82,15.33,0.24,0.008,0.15,270.66,4.18,0.079,1.52,9.2,0.1,0.001,0.03
134.44,43.29,0.322,1.52,0.0113,8.52,0.0634,38.01,0.2827,17.3,0.1287,25.8,0.1919,10.49,0.851,16,0.2,75,woman,all,45.027,472.33,23364.64,504.43,21.096,221.3,633.04,21.13,1.097,11.51,5838.42,169.49,6.152,64.54,19427.55,389.37,12.957,135.92,6311.1,111.13,2.083,21.85,8419.27,95.63,1.642,17.22
38.59,0.81,0.021,2.27,0.0588,13.78,0.3571,7.6,0.1969,5.36,0.1389,8.77,0.2273,18.89,0.768,19,0.589,73,woman,high,14.583,275.47,443.3,8.65,0.341,6.44,1009.11,32.61,1.829,34.54,9179.32,219.98,8.18,154.52,3596.27,85.29,2.928,55.31,2123.87,40.4,0.787,14.87,2749.39,36.79,0.518,9.79
5.46,1.93,0.3535,0.18,0.033,0.25,0.0458,0.18,0.033,2.04,0.3736,0.87,0.1593,6.47,0.963,26,0.239,70,woman,low,1.596,10.33,1095.16,24.47,0.943,6.1,72.9,2.06,0.125,0.81,183.66,5.07,0.19,1.23,90.42,2.03,0.059,0.38,852.06,13.08,0.24,1.55,271.54,2.72,0.039,0.25
1.27,0.42,0.3307,0.1,0.0787,0.14,0.1102,0.08,0.063,0.21,0.1654,0.31,0.2441,7.95,0.668,1,0.182,25,woman,low,0.408,3.24,224.63,4.73,0.209,1.66,35.96,1.1,0.066,0.52,102.49,2.26,0.08,0.64,34.23,0.67,0.022,0.17,78.08,1.18,0.019,0.15,94.63,0.85,0.012,0.1
97.91,1.83,0.0187,0.09,0.0009,11.46,0.117,12.34,0.126,70.99,0.7251,1.2,0.0123,14.08,0.647,4,0.56,23,man,low,17.553,247.14,969.38,15.59,0.633,8.91,38.87,1.19,0.075,1.06,7709.9,194.44,6.57,92.5,5949.28,102.26,2.705,38.08,26473.99,381.55,7.519,105.86,391.47,3.6,0.051,0.72
27.52,5.09,0.185,0.7,0.0254,5.18,0.1882,2.5,0.0908,2.77,0.1007,11.27,0.4095,6.65,0.73,16,0.066,56,woman,all,8.154,54.23,2856.82,64.62,2.56,17.02,292.19,8.72,0.597,3.97,3364.95,100.12,3.446,22.91,1313.99,20.14,0.664,4.42,1027.3,16.77,0.311,2.07,3437.97,38.12,0.576,3.83
86.37,5.36,0.0621,6.9,0.0799,8.57,0.0992,26.42,0.3059,12.94,0.1498,26.19,0.3032,10.09,0.581,15,0.38,27,woman,low,23.662,238.75,2885.44,57.6,2.181,22.0,3103.77,106.14,6.702,67.63,5973.79,166.82,6.02,60.74,13299.77,218.57,6.247,63.04,5198.88,81.48,1.562,15.76,7732.73,66.48,0.949,9.58
